,File Name,Mean,Median,Var,Std,Min,Max,Decomposing Number,Molecular Num in Environment
0,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,181249.582,123812.0,35215828432.79528,187658.80856702485,171,1305969,0,3000
1,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,924324.173,636927.0,834816323223.2871,913682.8351366174,591,6294085,0,3000
2,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,2414904.815,1605896.0,6275891525361.195,2505172.9531833115,2847,19401357,0,3000
3,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,5176972.655,3681739.5,24929867942311.977,4992981.868814664,5295,24999999,0,3000
