,File Name,Mean,Median,Var,Std,Min,Max,Decomposing Number,Molecular Num in Environment
38,TxRx90_ARQ10-10_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,471744.387,294361.5,289015515971.45325,537601.633155493,1818,4255109,0,30000
39,TxRx90_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,641832.299,602887.0,130730470273.57762,361566.6885563127,8443,1835536,0,34200
40,TxRx90_ARQ20-20_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,233130.622,143311.0,70162688017.38312,264882.40412942326,1685,2000134,0,60000
41,TxRx90_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,346565.448,291385.0,60486797747.5253,245940.63866617347,5812,1240152,0,61040
42,TxRx90_ARQ30-30_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,138699.05,76190.0,31790167852.649498,178297.9748977803,1285,1814314,0,90000
43,TxRx90_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,221919.238,181417.5,31300156127.311356,176918.50137086102,5411,1006998,0,90210
44,TxRx90_ARQ50-50_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,71156.808,27238.0,9495125820.065136,97442.93622456753,1373,767705,0,150000
45,TxRx90_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,120617.985,86101.0,12587423652.574778,112193.68811379175,4134,687548,0,150000
46,TxRx90_ARQ100-100_ACTIVE-ACTIVE_RTO0_DC05_1messages.dat,26115.797,10299.5,1466159331.9657912,38290.46006469224,971,295662,0,300000
47,TxRx90_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,44896.835,24407.0,2466450713.481775,49663.37396393619,3570,355897,0,300000
