,File Name,Mean,Median,Var,Std,Min,Max,Decomposing Number,Molecular Num in Environment
38,TxRx90_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,641832.299,602887.0,130730470273.57762,361566.6885563127,8443,1835536,0,34200
39,TxRx90_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,667785.441,637479.5,129600953662.71051,360001.32452910574,8082,2057590,0,34460
40,TxRx90_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,346565.448,291385.0,60486797747.5253,245940.63866617347,5812,1240152,0,61040
41,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,345749.924,301454.0,58226732991.11023,241302.1611820131,7870,1265271,0,60820
42,TxRx90_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,221919.238,181417.5,31300156127.311356,176918.50137086102,5411,1006998,0,90210
43,TxRx90_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,226584.588,173799.5,34251300688.39426,185071.06929067618,7254,1014650,0,90210
44,TxRx90_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,120617.985,86101.0,12587423652.574778,112193.68811379175,4134,687548,0,150000
45,TxRx90_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,110358.755,70646.5,12327737974.908978,111030.34708992392,4440,647270,0,150000
46,TxRx90_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,44896.835,24407.0,2466450713.481775,49663.37396393619,3570,355897,0,300000
47,TxRx90_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,43561.471,25003.5,2163769420.4591594,46516.33498524104,4388,341123,0,300000
